Freund	amico
Freundin	fidanzata
Freundschaft	amicizia
Liebe	amore
Tier	animale
Nachmittag	pomeriggio
Baum	albero
Geld	soldi
Kunst	arte
Herbst	autunno
Flugzeug	aereo
Flughafen	aeroporto
Banane	banana
Schiff	nave
schön	carino
Bibliothek	biblioteca
Schreibtisch	scrivania
Bus	autobus
Kaffee	caffè
Karte	carta geografica
Stuhl	sedia
Hut	berretto
Katze	gatto
warm	caldo
Schuhe	scarpe
Hund	cane
Himmel	paradiso
fünf	cinque
Tastatur	tastiera
Tanz	danza
zwei	due
Dezember	dicembre
Wasser	acqua
sie	lei
Job	lavoro
Unternehmen	perseguire
Familie	famiglia
Ehefrau	moglie
Fenster	finestra
Film	film
Blume	fiore
Wald	foresta
kalt	freddo
Käse	formaggio
Bruder	fratello
Bahnhof	stazione ferroviaria
Regierung	governo
Zeit	tempo
Winter	inverno
acht	otto
Krankenhaus	ospedale
Hotel	hotel
Drucker	stampante
Garten	giardino
Juli	luglio
Juni	giugno
Gerechtigkeit	giustizia
See	lago
Milch	latte
Buch	libro
Gesetz	legge
Mond	luna
Brille	occhiali
Geschäft	attività commerciale
Haus	casa
Markt	mercato
Ehemann	marito
Morgen	mattina
Meer	mare
Minute	minuto
Berg	montagna
Uhr	orologio
Musik	musica
Mutter	madre
Schnee	nevicare
wir	noi
Wolke	nuvola
Nacht	notte
Vogel	uccello
Orange	arancia
Computer	computer
Brot	pane
Hose	pantaloni
Papier	carta
Land	paese
Schwimmbad	piscina
Strand	spiaggia
Regen	piovere
Fisch	pescare
Politik	politica
Apfel	mela
Tür	porta
Frühling	primavera
Lehrer	insegnante
Vater	padre
vier	quattro
Restaurant	ristorante
Fluss	fluire
Kleid	vestito
Straße	strada
Tasche	borsa
Sekunde	secondo
Schwester	sorella
Abend	sera
Sonne	sole
Sonne	sole
Maus	topo
Sport	gli sport
Kugelschreiber	penna a sfera
Tisch	tavolo
Tee	tè
Zug	treno
Arbeit	lavoro
drei	tre
Telefon	telefono
Universität	università
Dorf	villaggio
Stadt	città
Auto	automobile
Reise	viaggio
Fahrrad	bicicletta
Schule	scuola
Wirtschaft	attività commerciale
Bildschirm	schermo
Stern	stella
Student	studente universitario
Sommer	estate
Insel	isola
