achat	aankoop
ami	vriend
amie	vriend
année	jaar
août	augustus
après-midi	middag
argent	zilver
artefact	artefact
astronomie	astronomie
avion	vliegtuig
aéroport	luchthaven
banane	banaan
banque	bank
bateau	boot
bibliothèque	bibliotheek
biologie	biologie
bus	bus
café	koffie
cent	honderd
chaise	stoel
chat	kat
chien	hond
chimie	scheikunde
cinq	vijf
cinquante	vijftig
cinéma	bioscoop
clavier	toetsenbord
client	klant
compétence	vaardigheid
contrat	contract
crime	misdaad
culture	cultuur
danse	dans
deux	twee
dix	tien
dix-huit	achttien
dix-neuf	negentien
dix-sept	zeventien
douze	twaalf
décembre	december
eau	water
elle	zij
entreprise	onderneming
exposition	blootstelling
facture	factuur
fenêtre	raam
fleur	bloem
formation	opleiding
forêt	woud
fraternité	broederschap
fromage	kaas
fruit	fruit
frère	broer
galerie	galerij
gare	station
gouvernement	regering
heure	uur
histoire	geschiedenis
huit	acht
hôpital	ziekenhuis
hôpital	ziekenhuis
hôtel	hotel
imprimante	printer
jour	dag
juillet	juli
juin	juni
justice	gerechtigheid
lac	meer
lait	melk
liberté	vrijheid
livre	boek
livre	boek
loi	wet
loisir	vrije tijd
lune	maan
légumes	groenten
magasin	winkel
maison	huis
marché	wandeling
mathématiques	wiskunde
matin	ochtend
mer	zee
mille	duizend
minute	minuut
montagne	berg
musique	muziek
musée	museum
mère	moeder
médecin	doctor
médicament	geneesmiddel
neige	sneeuw
neuf	negen
nous	wij
novembre	november
nuage	wolk
nuit	nacht
octobre	oktober
onze	elf
orange	oranje
ordinateur	computer
pain	brood
papier	papier
peinture	verf
pharmacie	apotheek
philosophie	filosofie
photographie	fotografie
physique	lichamelijk
piscine	zwembad
plage	strand
pluie	regen
poisson	vis
policier	politie agent
politique	beleid
pomme	appel
porte	deur
poulet	kip
prison	gevangenis
psychologie	psychologie
père	vader
quarante	veertig
quatorze	veertien
quatre	vier
quatre-vingt-dix	negentig
quatre-vingts	tachtig
quinze	vijftien
religion	religie
restaurant	restaurant
rivière	rivier
réservation	reservering
réunion	ontmoeting
réussite	succes
salade	salade
salaire	salaris
santé	gezondheid
science	wetenschap
sculpture	beeldhouwwerk
seconde	seconde
seize	zestien
sept	zeven
septembre	september
six	zes
soir	avond
soixante	zestig
soixante-dix	zeventig
soleil	zon
souris	muis
sport	sport
stylo	pen
sœur	zus
table	tafel
temps	tijd
thé	thee
ticket	ticket
tourisme	toerisme
tradition	traditie
train	trein
travail	werk
treize	dertien
trente	dertig
trois	drie
téléphone	telefoon
vacances	vakantie
vent	wind
vente	verkoop
viande	vlees
village	dorp
ville	stad
vingt	twintig
voiture	auto
vote	stemmen
vous	jij
voyage	reis
vélo	fiets
échec	mislukking
école	school
écran	scherm
égalité	gelijkwaardigheid
élection	verkiezing
équipe	team
étoile	ster
