vriend	vän
vriendin	kvinnlig vän
vriendschap	vänskap
liefde	kärlek
dier	djur
middag	eftermiddag
boom	träd
geld	pengar
kunst	konst
herfst	höst
vliegtuig	flygplan
luchthaven	flygplats
banaan	banan
schip	fartyg
leuk	trevlig
bibliotheek	bibliotek
bureau	skrivbord
bus	buss
koffie	kaffe
kaart	kort
stoel	stol
dop	keps
kat	katt
warm	värma
schoenen	skor
hond	hund
hemel	himmel
vijf	fem
toetsenbord	tangentbord
dans	dansa
twee	två
december	december
water	vatten
zij	hon
functie	fungera
nastreven	bedriva
familie	familj
vrouw	kvinna
raam	fönster
film	film
bloem	blomma
woud	skog
koud	kall
kaas	ost
broer	bror
treinstation	tågstation
regering	regering
tijd	tid
winter	vinter
acht	åtta
ziekenhuis	sjukhus
hotel	hotell
printer	skrivare
tuin	trädgård
juli	juli
juni	juni
gerechtigheid	rättvisa
meer	mer
melk	mjölk
boek	bok
wet	lag
maan	måne
bril	glasögon
bedrijf	företag
huis	hus
markt	marknadsföra
echtgenoot	make
ochtend	morgon
zee	hav
minuut	minut
berg	fjäll
klok	klocka
muziek	musik
moeder	mor
sneeuw	snö
wij	vi
wolk	moln
nacht	natt
vogel	fågel
oranje	orange
computer	dator
brood	bröd
broek	par byxor
papier	papper
land	land
zwembad	simbassäng
strand	strand
regen	regn
vis	fisk
politiek	politik
appel	äpple
deur	dörr
lente	vår
docent	föreläsare
vader	far
vier	fyra
restaurant	restaurang
stroom	nuvarande
jurk	klänning
straat	gata
tas	väska
seconde	andra
zus	syster
avond	kväll
zon	sol
zon	sol
muis	mus
sport	sport
balpen	kulspetspenna
tafel	tabell
thee	te
trein	tåg
werk	arbete
drie	tre
telefoon	telefon
universiteit	universitet
dorp	by
stad	stad
auto	bil
reis	resa
fiets	cykel
school	skola
bedrijf	företag
scherm	skärm
ster	stjärna
studente aan de universiteit	student vid universitetet
zomer	sommar
eiland	ö
