friend	vriend
girlfriend	vriendin
friendship	vriendschap
love	liefde
animal	dier
afternoon	middag
tree	boom
money	geld
art	kunst
autumn	herfst
airplane	vliegtuig
airport	luchthaven
banana	banaan
ship	schip
nice	leuk
library	bibliotheek
desk	bureau
bus	bus
coffee	koffie
map	kaart
chair	stoel
cap	dop
cat	kat
warm	warm
shoes	schoenen
dog	hond
heaven	hemel
five	vijf
keyboard	toetsenbord
dance	dans
two	twee
december	december
water	water
she	zij
job	functie
pursue	nastreven
family	familie
wife	vrouw
window	raam
movie	film
flower	bloem
forest	woud
cold	koud
cheese	kaas
brother	broer
railroad station	treinstation
government	regering
time	tijd
winter	winter
eight	acht
hospital	ziekenhuis
hotel	hotel
printer	printer
garden	tuin
july	juli
june	juni
justice	gerechtigheid
lake	meer
milk	melk
book	boek
law	wet
moon	maan
glasses	bril
business	bedrijf
house	huis
market	markt
husband	echtgenoot
morning	ochtend
sea	zee
minute	minuut
mountain	berg
clock	klok
music	muziek
mother	moeder
snow	sneeuw
we	wij
cloud	wolk
night	nacht
bird	vogel
orange	oranje
computer	computer
bread	brood
trousers	broek
paper	papier
country	land
swimming pool	zwembad
beach	strand
rain	regen
fish	vis
politics	politiek
apple	appel
door	deur
spring	lente
teacher	docent
father	vader
four	vier
restaurant	restaurant
flow	stroom
dress	jurk
street	straat
bag	tas
second	seconde
sister	zus
evening	avond
sun	zon
sun	zon
mouse	muis
sports	sport
ballpoint pen	balpen
table	tafel
tea	thee
train	trein
work	werk
three	drie
phone	telefoon
university	universiteit
village	dorp
city	stad
automobile	auto
trip	reis
bicycle	fiets
school	school
business	bedrijf
screen	scherm
star	ster
university student	studente aan de universiteit
summer	zomer
island	eiland
