compra	kopen
amico	vriend
amico	vriend
anno	jaar
agosto	augustus
tardi	laat
soldi	geld
artefatto	artefact
astronomia	astronomie
aereo	vliegtuig
aeroporto	luchthaven
banana	banaan
banca	bank
nave	schip
biblioteca	bibliotheek
biologia	biologie
autobus	bus
caffè	koffie
centinaio	honderd
sedia	stoel
gatto	kat
cane	hond
chimica	scheikunde
cinque	vijf
cinquanta	vijftig
cinema	bioscoop
tastiera	toetsenbord
cliente	klant
capacità	capaciteit
contrarre	contracteren
crimine	misdaad
cultura	cultuur
danza	dans
due	twee
dieci	tien
diciotto	achttien
diciannove	negentien
diciassette	zeventien
dodici	twaalf
dicembre	december
acqua	waterval
lei	zij
azienda	bureau
esposizione	blootstelling
conto	ik tel
finestra	raam
fiore	bloem
formazione	opleiding
foresta	woud
fraternità	broederschap
formaggio	kaas
frutta	fruit
fratello	broer
galleria	galerij
stagione	seizoen
governo	regering
ora	nu
storia	geschiedenis
otto	acht
ospedale	ziekenhuis
ospedale	ziekenhuis
hotel	hotels
stampante	printer
giorno	dag
luglio	juli
giugno	juni
giustizia	gerechtigheid
lago	meer
latte	melk
libertà	vrijheid
libro	boek
libro	boek
legge	wet
tempo libero	vrije tijd
luna	maan
verdure	groenten
negozio	winkel
casa	thuis
mercato	markt
matematica	wiskunde
domani	morgen
mare	zee
mille	duizend
minuto	minuut
montagna	berg
musica	muziek
museo	museum
madre	moeder
medico	arts
medicinale	geneeskrachtig
nevicare	sneeuwen
nove	negen
noi	wij
novembre	november
nuvola	wolk
sera	avond
ottobre	oktober
undici	elf
arancia	oranje
computer	computer
pane	brood
carta	papier
colore	kleur
farmacia	apotheek
filosofia	filosofie
fotografia	fotografie
fisico	natuurkundige
piscina	zwembad
spiaggia	strand
piovere	regenen
pescare	vis
polizia stradale	politie
politica	politiek
mela	appel
porta	brengt
pollo	kip
prigione	gevangenis
psicologia	psychologie
padre	vader
quaranta	veertig
quattordici	veertien
quattro	vier
novanta	negentig
ottanta	tachtig
quindici	vijftien
religione	religie
ristorante	restaurant
fiume	rivier
prenotazione	reservering
incontro	ontmoeting
successo	succes
insalata	salade
stipendio	salaris
salute	gezondheid
scienza	wetenschap
scultura	beeldhouwwerk
secondo	seconde
sedici	zestien
sette	zeven
settembre	september
sei	zes
sera	avond
sessanta	zestig
settanta	zeventig
sole	zon
topo	muis
sport	sport
penna	schacht
sorella	zus
tavolo	tafel
tempo	tijd
tè	jij
biglietto	ticket
turismo	toerisme
tradizione	traditie
treno	trein
lavoro	werk
tredici	dertien
trenta	dertig
tre	drie
telefono	telefoon
vacanza	vakantie
vento	wind
vendita	verkoop
carne	vlees
città	stad
città	stad
venti	wind
auto	auto
votazione	stemmen
voi	jij
viaggio	reis
bicicletta	fiets
fallimento	mislukking
scuola	school
schermo	scherm
uguaglianza	gelijkwaardigheid
scelta	keuze
attrezzatura	apparatuur
stella	ster
